theme_id,theme_name,theme_category,theme_mechanism,seed_etfs,direct_categories,excluded_categories,candidate_rank_within_theme,ticker,company_name,candidate_role,beneficiary_type,initial_inclusion_method,api_retrievable,api_validation_priority,must_pass_alpha_trend_gates,fmp_seed_etf_holdings_endpoints,fmp_profile_endpoint,fmp_key_metrics_endpoint,fmp_ratios_endpoint,fmp_financial_statements_endpoints,massive_ticker_reference_endpoint,massive_daily_bars_endpoint_template,sec_submission_step,sec_companyfacts_step,openfigi_mapping_payload_hint,notes,created_date
T001,AI Semiconductor Compute,Technology / AI Infrastructure,"AI training and inference demand drives GPUs, accelerators, custom ASICs, advanced-node foundry capacity, and high-speed networking silicon.",SMH;SOXX;AIQ,GPUs; accelerators; custom ASICs; foundries; semiconductor IP; high-speed networking silicon,generic AI software with no silicon revenue; quantum branding; low-revenue AI microcaps,1,NVDA,NVIDIA Corporation,Direct beneficiary,Compute accelerator / GPU,manual_seed_for_api_validation,yes,high,T1 exposure purity; T3 fundamentals; T4 price participation; T6 liquidity/dilution; T8 expression decision,https://financialmodelingprep.com/stable/etf/holdings?symbol=SMH;https://financialmodelingprep.com/stable/etf/holdings?symbol=SOXX;https://financialmodelingprep.com/stable/etf/holdings?symbol=AIQ,https://financialmodelingprep.com/stable/profile?symbol=NVDA,https://financialmodelingprep.com/stable/key-metrics?symbol=NVDA,https://financialmodelingprep.com/stable/ratios?symbol=NVDA,https://financialmodelingprep.com/stable/income-statement?symbol=NVDA;https://financialmodelingprep.com/stable/balance-sheet-statement?symbol=NVDA;https://financialmodelingprep.com/stable/cash-flow-statement?symbol=NVDA,https://api.massive.com/v3/reference/tickers/NVDA,https://api.massive.com/v2/aggs/ticker/NVDA/range/1/day/{from}/{to},"Resolve CIK from Massive/FMP/OpenFIGI, then call https://data.sec.gov/submissions/CIK##########.json","Resolve CIK, then call https://data.sec.gov/api/xbrl/companyfacts/CIK##########.json","{""idType"":""TICKER"",""idValue"":""NVDA"",""exchCode"":""US""}","Seed candidate only; AlphaTrend must validate current ETF membership, active listing, liquidity, exposure purity, fundamentals, and dilution before display as investable.",2026-05-08
T001,AI Semiconductor Compute,Technology / AI Infrastructure,"AI training and inference demand drives GPUs, accelerators, custom ASICs, advanced-node foundry capacity, and high-speed networking silicon.",SMH;SOXX;AIQ,GPUs; accelerators; custom ASICs; foundries; semiconductor IP; high-speed networking silicon,generic AI software with no silicon revenue; quantum branding; low-revenue AI microcaps,2,AMD,"Advanced Micro Devices, Inc.",Direct beneficiary,GPU / CPU / accelerator,manual_seed_for_api_validation,yes,high,T1 exposure purity; T3 fundamentals; T4 price participation; T6 liquidity/dilution; T8 expression decision,https://financialmodelingprep.com/stable/etf/holdings?symbol=SMH;https://financialmodelingprep.com/stable/etf/holdings?symbol=SOXX;https://financialmodelingprep.com/stable/etf/holdings?symbol=AIQ,https://financialmodelingprep.com/stable/profile?symbol=AMD,https://financialmodelingprep.com/stable/key-metrics?symbol=AMD,https://financialmodelingprep.com/stable/ratios?symbol=AMD,https://financialmodelingprep.com/stable/income-statement?symbol=AMD;https://financialmodelingprep.com/stable/balance-sheet-statement?symbol=AMD;https://financialmodelingprep.com/stable/cash-flow-statement?symbol=AMD,https://api.massive.com/v3/reference/tickers/AMD,https://api.massive.com/v2/aggs/ticker/AMD/range/1/day/{from}/{to},"Resolve CIK from Massive/FMP/OpenFIGI, then call https://data.sec.gov/submissions/CIK##########.json","Resolve CIK, then call https://data.sec.gov/api/xbrl/companyfacts/CIK##########.json","{""idType"":""TICKER"",""idValue"":""AMD"",""exchCode"":""US""}","Seed candidate only; AlphaTrend must validate current ETF membership, active listing, liquidity, exposure purity, fundamentals, and dilution before display as investable.",2026-05-08
T001,AI Semiconductor Compute,Technology / AI Infrastructure,"AI training and inference demand drives GPUs, accelerators, custom ASICs, advanced-node foundry capacity, and high-speed networking silicon.",SMH;SOXX;AIQ,GPUs; accelerators; custom ASICs; foundries; semiconductor IP; high-speed networking silicon,generic AI software with no silicon revenue; quantum branding; low-revenue AI microcaps,3,AVGO,Broadcom Inc.,Direct beneficiary,Custom silicon / networking,manual_seed_for_api_validation,yes,high,T1 exposure purity; T3 fundamentals; T4 price participation; T6 liquidity/dilution; T8 expression decision,https://financialmodelingprep.com/stable/etf/holdings?symbol=SMH;https://financialmodelingprep.com/stable/etf/holdings?symbol=SOXX;https://financialmodelingprep.com/stable/etf/holdings?symbol=AIQ,https://financialmodelingprep.com/stable/profile?symbol=AVGO,https://financialmodelingprep.com/stable/key-metrics?symbol=AVGO,https://financialmodelingprep.com/stable/ratios?symbol=AVGO,https://financialmodelingprep.com/stable/income-statement?symbol=AVGO;https://financialmodelingprep.com/stable/balance-sheet-statement?symbol=AVGO;https://financialmodelingprep.com/stable/cash-flow-statement?symbol=AVGO,https://api.massive.com/v3/reference/tickers/AVGO,https://api.massive.com/v2/aggs/ticker/AVGO/range/1/day/{from}/{to},"Resolve CIK from Massive/FMP/OpenFIGI, then call https://data.sec.gov/submissions/CIK##########.json","Resolve CIK, then call https://data.sec.gov/api/xbrl/companyfacts/CIK##########.json","{""idType"":""TICKER"",""idValue"":""AVGO"",""exchCode"":""US""}","Seed candidate only; AlphaTrend must validate current ETF membership, active listing, liquidity, exposure purity, fundamentals, and dilution before display as investable.",2026-05-08
T001,AI Semiconductor Compute,Technology / AI Infrastructure,"AI training and inference demand drives GPUs, accelerators, custom ASICs, advanced-node foundry capacity, and high-speed networking silicon.",SMH;SOXX;AIQ,GPUs; accelerators; custom ASICs; foundries; semiconductor IP; high-speed networking silicon,generic AI software with no silicon revenue; quantum branding; low-revenue AI microcaps,4,TSM,Taiwan Semiconductor Manufacturing Company Limited,Direct beneficiary,Advanced-node foundry,manual_seed_for_api_validation,yes,high,T1 exposure purity; T3 fundamentals; T4 price participation; T6 liquidity/dilution; T8 expression decision,https://financialmodelingprep.com/stable/etf/holdings?symbol=SMH;https://financialmodelingprep.com/stable/etf/holdings?symbol=SOXX;https://financialmodelingprep.com/stable/etf/holdings?symbol=AIQ,https://financialmodelingprep.com/stable/profile?symbol=TSM,https://financialmodelingprep.com/stable/key-metrics?symbol=TSM,https://financialmodelingprep.com/stable/ratios?symbol=TSM,https://financialmodelingprep.com/stable/income-statement?symbol=TSM;https://financialmodelingprep.com/stable/balance-sheet-statement?symbol=TSM;https://financialmodelingprep.com/stable/cash-flow-statement?symbol=TSM,https://api.massive.com/v3/reference/tickers/TSM,https://api.massive.com/v2/aggs/ticker/TSM/range/1/day/{from}/{to},"Resolve CIK from Massive/FMP/OpenFIGI, then call https://data.sec.gov/submissions/CIK##########.json","Resolve CIK, then call https://data.sec.gov/api/xbrl/companyfacts/CIK##########.json","{""idType"":""TICKER"",""idValue"":""TSM"",""exchCode"":""US""}","Seed candidate only; AlphaTrend must validate current ETF membership, active listing, liquidity, exposure purity, fundamentals, and dilution before display as investable.",2026-05-08
T001,AI Semiconductor Compute,Technology / AI Infrastructure,"AI training and inference demand drives GPUs, accelerators, custom ASICs, advanced-node foundry capacity, and high-speed networking silicon.",SMH;SOXX;AIQ,GPUs; accelerators; custom ASICs; foundries; semiconductor IP; high-speed networking silicon,generic AI software with no silicon revenue; quantum branding; low-revenue AI microcaps,5,ASML,ASML Holding N.V.,Picks-and-shovels,EUV lithography equipment,manual_seed_for_api_validation,yes,medium,T1 exposure purity; T3 fundamentals; T4 price participation; T6 liquidity/dilution; T8 expression decision,https://financialmodelingprep.com/stable/etf/holdings?symbol=SMH;https://financialmodelingprep.com/stable/etf/holdings?symbol=SOXX;https://financialmodelingprep.com/stable/etf/holdings?symbol=AIQ,https://financialmodelingprep.com/stable/profile?symbol=ASML,https://financialmodelingprep.com/stable/key-metrics?symbol=ASML,https://financialmodelingprep.com/stable/ratios?symbol=ASML,https://financialmodelingprep.com/stable/income-statement?symbol=ASML;https://financialmodelingprep.com/stable/balance-sheet-statement?symbol=ASML;https://financialmodelingprep.com/stable/cash-flow-statement?symbol=ASML,https://api.massive.com/v3/reference/tickers/ASML,https://api.massive.com/v2/aggs/ticker/ASML/range/1/day/{from}/{to},"Resolve CIK from Massive/FMP/OpenFIGI, then call https://data.sec.gov/submissions/CIK##########.json","Resolve CIK, then call https://data.sec.gov/api/xbrl/companyfacts/CIK##########.json","{""idType"":""TICKER"",""idValue"":""ASML"",""exchCode"":""US""}","Seed candidate only; AlphaTrend must validate current ETF membership, active listing, liquidity, exposure purity, fundamentals, and dilution before display as investable.",2026-05-08
T001,AI Semiconductor Compute,Technology / AI Infrastructure,"AI training and inference demand drives GPUs, accelerators, custom ASICs, advanced-node foundry capacity, and high-speed networking silicon.",SMH;SOXX;AIQ,GPUs; accelerators; custom ASICs; foundries; semiconductor IP; high-speed networking silicon,generic AI software with no silicon revenue; quantum branding; low-revenue AI microcaps,6,ARM,Arm Holdings plc,Picks-and-shovels,Semiconductor IP,manual_seed_for_api_validation,yes,medium,T1 exposure purity; T3 fundamentals; T4 price participation; T6 liquidity/dilution; T8 expression decision,https://financialmodelingprep.com/stable/etf/holdings?symbol=SMH;https://financialmodelingprep.com/stable/etf/holdings?symbol=SOXX;https://financialmodelingprep.com/stable/etf/holdings?symbol=AIQ,https://financialmodelingprep.com/stable/profile?symbol=ARM,https://financialmodelingprep.com/stable/key-metrics?symbol=ARM,https://financialmodelingprep.com/stable/ratios?symbol=ARM,https://financialmodelingprep.com/stable/income-statement?symbol=ARM;https://financialmodelingprep.com/stable/balance-sheet-statement?symbol=ARM;https://financialmodelingprep.com/stable/cash-flow-statement?symbol=ARM,https://api.massive.com/v3/reference/tickers/ARM,https://api.massive.com/v2/aggs/ticker/ARM/range/1/day/{from}/{to},"Resolve CIK from Massive/FMP/OpenFIGI, then call https://data.sec.gov/submissions/CIK##########.json","Resolve CIK, then call https://data.sec.gov/api/xbrl/companyfacts/CIK##########.json","{""idType"":""TICKER"",""idValue"":""ARM"",""exchCode"":""US""}","Seed candidate only; AlphaTrend must validate current ETF membership, active listing, liquidity, exposure purity, fundamentals, and dilution before display as investable.",2026-05-08
T001,AI Semiconductor Compute,Technology / AI Infrastructure,"AI training and inference demand drives GPUs, accelerators, custom ASICs, advanced-node foundry capacity, and high-speed networking silicon.",SMH;SOXX;AIQ,GPUs; accelerators; custom ASICs; foundries; semiconductor IP; high-speed networking silicon,generic AI software with no silicon revenue; quantum branding; low-revenue AI microcaps,7,MRVL,"Marvell Technology, Inc.",Direct beneficiary,Data-center networking / custom silicon,manual_seed_for_api_validation,yes,high,T1 exposure purity; T3 fundamentals; T4 price participation; T6 liquidity/dilution; T8 expression decision,https://financialmodelingprep.com/stable/etf/holdings?symbol=SMH;https://financialmodelingprep.com/stable/etf/holdings?symbol=SOXX;https://financialmodelingprep.com/stable/etf/holdings?symbol=AIQ,https://financialmodelingprep.com/stable/profile?symbol=MRVL,https://financialmodelingprep.com/stable/key-metrics?symbol=MRVL,https://financialmodelingprep.com/stable/ratios?symbol=MRVL,https://financialmodelingprep.com/stable/income-statement?symbol=MRVL;https://financialmodelingprep.com/stable/balance-sheet-statement?symbol=MRVL;https://financialmodelingprep.com/stable/cash-flow-statement?symbol=MRVL,https://api.massive.com/v3/reference/tickers/MRVL,https://api.massive.com/v2/aggs/ticker/MRVL/range/1/day/{from}/{to},"Resolve CIK from Massive/FMP/OpenFIGI, then call https://data.sec.gov/submissions/CIK##########.json","Resolve CIK, then call https://data.sec.gov/api/xbrl/companyfacts/CIK##########.json","{""idType"":""TICKER"",""idValue"":""MRVL"",""exchCode"":""US""}","Seed candidate only; AlphaTrend must validate current ETF membership, active listing, liquidity, exposure purity, fundamentals, and dilution before display as investable.",2026-05-08
T001,AI Semiconductor Compute,Technology / AI Infrastructure,"AI training and inference demand drives GPUs, accelerators, custom ASICs, advanced-node foundry capacity, and high-speed networking silicon.",SMH;SOXX;AIQ,GPUs; accelerators; custom ASICs; foundries; semiconductor IP; high-speed networking silicon,generic AI software with no silicon revenue; quantum branding; low-revenue AI microcaps,8,QCOM,QUALCOMM Incorporated,Indirect beneficiary,Edge AI processors,manual_seed_for_api_validation,yes,medium,T1 exposure purity; T3 fundamentals; T4 price participation; T6 liquidity/dilution; T8 expression decision,https://financialmodelingprep.com/stable/etf/holdings?symbol=SMH;https://financialmodelingprep.com/stable/etf/holdings?symbol=SOXX;https://financialmodelingprep.com/stable/etf/holdings?symbol=AIQ,https://financialmodelingprep.com/stable/profile?symbol=QCOM,https://financialmodelingprep.com/stable/key-metrics?symbol=QCOM,https://financialmodelingprep.com/stable/ratios?symbol=QCOM,https://financialmodelingprep.com/stable/income-statement?symbol=QCOM;https://financialmodelingprep.com/stable/balance-sheet-statement?symbol=QCOM;https://financialmodelingprep.com/stable/cash-flow-statement?symbol=QCOM,https://api.massive.com/v3/reference/tickers/QCOM,https://api.massive.com/v2/aggs/ticker/QCOM/range/1/day/{from}/{to},"Resolve CIK from Massive/FMP/OpenFIGI, then call https://data.sec.gov/submissions/CIK##########.json","Resolve CIK, then call https://data.sec.gov/api/xbrl/companyfacts/CIK##########.json","{""idType"":""TICKER"",""idValue"":""QCOM"",""exchCode"":""US""}","Seed candidate only; AlphaTrend must validate current ETF membership, active listing, liquidity, exposure purity, fundamentals, and dilution before display as investable.",2026-05-08
T001,AI Semiconductor Compute,Technology / AI Infrastructure,"AI training and inference demand drives GPUs, accelerators, custom ASICs, advanced-node foundry capacity, and high-speed networking silicon.",SMH;SOXX;AIQ,GPUs; accelerators; custom ASICs; foundries; semiconductor IP; high-speed networking silicon,generic AI software with no silicon revenue; quantum branding; low-revenue AI microcaps,9,INTC,Intel Corporation,Direct/turnaround beneficiary,CPU / foundry / accelerator,manual_seed_for_api_validation,yes,high,T1 exposure purity; T3 fundamentals; T4 price participation; T6 liquidity/dilution; T8 expression decision,https://financialmodelingprep.com/stable/etf/holdings?symbol=SMH;https://financialmodelingprep.com/stable/etf/holdings?symbol=SOXX;https://financialmodelingprep.com/stable/etf/holdings?symbol=AIQ,https://financialmodelingprep.com/stable/profile?symbol=INTC,https://financialmodelingprep.com/stable/key-metrics?symbol=INTC,https://financialmodelingprep.com/stable/ratios?symbol=INTC,https://financialmodelingprep.com/stable/income-statement?symbol=INTC;https://financialmodelingprep.com/stable/balance-sheet-statement?symbol=INTC;https://financialmodelingprep.com/stable/cash-flow-statement?symbol=INTC,https://api.massive.com/v3/reference/tickers/INTC,https://api.massive.com/v2/aggs/ticker/INTC/range/1/day/{from}/{to},"Resolve CIK from Massive/FMP/OpenFIGI, then call https://data.sec.gov/submissions/CIK##########.json","Resolve CIK, then call https://data.sec.gov/api/xbrl/companyfacts/CIK##########.json","{""idType"":""TICKER"",""idValue"":""INTC"",""exchCode"":""US""}","Seed candidate only; AlphaTrend must validate current ETF membership, active listing, liquidity, exposure purity, fundamentals, and dilution before display as investable.",2026-05-08
T001,AI Semiconductor Compute,Technology / AI Infrastructure,"AI training and inference demand drives GPUs, accelerators, custom ASICs, advanced-node foundry capacity, and high-speed networking silicon.",SMH;SOXX;AIQ,GPUs; accelerators; custom ASICs; foundries; semiconductor IP; high-speed networking silicon,generic AI software with no silicon revenue; quantum branding; low-revenue AI microcaps,10,ON,ON Semiconductor Corporation,Indirect beneficiary,Power/edge semiconductor exposure,manual_seed_for_api_validation,yes,medium,T1 exposure purity; T3 fundamentals; T4 price participation; T6 liquidity/dilution; T8 expression decision,https://financialmodelingprep.com/stable/etf/holdings?symbol=SMH;https://financialmodelingprep.com/stable/etf/holdings?symbol=SOXX;https://financialmodelingprep.com/stable/etf/holdings?symbol=AIQ,https://financialmodelingprep.com/stable/profile?symbol=ON,https://financialmodelingprep.com/stable/key-metrics?symbol=ON,https://financialmodelingprep.com/stable/ratios?symbol=ON,https://financialmodelingprep.com/stable/income-statement?symbol=ON;https://financialmodelingprep.com/stable/balance-sheet-statement?symbol=ON;https://financialmodelingprep.com/stable/cash-flow-statement?symbol=ON,https://api.massive.com/v3/reference/tickers/ON,https://api.massive.com/v2/aggs/ticker/ON/range/1/day/{from}/{to},"Resolve CIK from Massive/FMP/OpenFIGI, then call https://data.sec.gov/submissions/CIK##########.json","Resolve CIK, then call https://data.sec.gov/api/xbrl/companyfacts/CIK##########.json","{""idType"":""TICKER"",""idValue"":""ON"",""exchCode"":""US""}","Seed candidate only; AlphaTrend must validate current ETF membership, active listing, liquidity, exposure purity, fundamentals, and dilution before display as investable.",2026-05-08
