theme_id,theme_name,theme_category,theme_mechanism,seed_etfs,direct_categories,excluded_categories,company_count_in_seed_csv,fmp_seed_etf_holdings_endpoints,api_generation_rule,default_dashboard_status,created_date
T001,AI Semiconductor Compute,Technology / AI Infrastructure,"AI training and inference demand drives GPUs, accelerators, custom ASICs, advanced-node foundry capacity, and high-speed networking silicon.",SMH;SOXX;AIQ,GPUs; accelerators; custom ASICs; foundries; semiconductor IP; high-speed networking silicon,generic AI software with no silicon revenue; quantum branding; low-revenue AI microcaps,10,https://financialmodelingprep.com/stable/etf/holdings?symbol=SMH;https://financialmodelingprep.com/stable/etf/holdings?symbol=SOXX;https://financialmodelingprep.com/stable/etf/holdings?symbol=AIQ,"Start with seed ETF holdings + FMP company screener + Massive active common/ADR universe; then apply AlphaTrend exposure, fundamentals, price, liquidity, and dilution gates.",neutral_until_scored,2026-05-08
T002,AI Memory & Storage Scarcity,Technology / AI Infrastructure,"AI data-center growth increases demand for HBM, DRAM, NAND, SSDs, HDDs, and storage controllers, potentially creating pricing power and margin expansion.",SMH;SOXX;XSD,DRAM; HBM; NAND; enterprise SSD; HDD; storage controllers; memory process equipment,generic technology; quantum computing; digital advertising; AI software without storage revenue,10,https://financialmodelingprep.com/stable/etf/holdings?symbol=SMH;https://financialmodelingprep.com/stable/etf/holdings?symbol=SOXX;https://financialmodelingprep.com/stable/etf/holdings?symbol=XSD,"Start with seed ETF holdings + FMP company screener + Massive active common/ADR universe; then apply AlphaTrend exposure, fundamentals, price, liquidity, and dilution gates.",neutral_until_scored,2026-05-08
T003,Semiconductor Capital Equipment & EDA,Technology / Semiconductors,"Rising semiconductor capex and advanced-node complexity increase demand for lithography, deposition, etch, inspection, test, and electronic design automation.",SMH;SOXX;PSI,semiconductor equipment; process control; test equipment; EDA software,chip companies without capex leverage; generic industrial equipment,10,https://financialmodelingprep.com/stable/etf/holdings?symbol=SMH;https://financialmodelingprep.com/stable/etf/holdings?symbol=SOXX;https://financialmodelingprep.com/stable/etf/holdings?symbol=PSI,"Start with seed ETF holdings + FMP company screener + Massive active common/ADR universe; then apply AlphaTrend exposure, fundamentals, price, liquidity, and dilution gates.",neutral_until_scored,2026-05-08
T004,"Data Center Power, Cooling & Electrical Infrastructure",Infrastructure / AI Power,"AI data-center buildouts increase demand for power systems, cooling, electrical equipment, switchgear, construction services, and thermal management.",GRID;PAVE;IFRA,power equipment; electrical infrastructure; cooling systems; mechanical/electrical contractors; grid services,software-only AI; chip companies; utilities with no data-center load exposure,11,https://financialmodelingprep.com/stable/etf/holdings?symbol=GRID;https://financialmodelingprep.com/stable/etf/holdings?symbol=PAVE;https://financialmodelingprep.com/stable/etf/holdings?symbol=IFRA,"Start with seed ETF holdings + FMP company screener + Massive active common/ADR universe; then apply AlphaTrend exposure, fundamentals, price, liquidity, and dilution gates.",neutral_until_scored,2026-05-08
T005,Data Center REITs & Digital Infrastructure,Real Estate / Digital Infrastructure,"Cloud and AI compute growth drives demand for data-center space, interconnection, colocation, and adjacent digital infrastructure.",VPN;SRVR;VNQ,data-center REITs; tower REITs; digital infrastructure REITs; colocation,generic office REITs; residential REITs; software-only companies,7,https://financialmodelingprep.com/stable/etf/holdings?symbol=VPN;https://financialmodelingprep.com/stable/etf/holdings?symbol=SRVR;https://financialmodelingprep.com/stable/etf/holdings?symbol=VNQ,"Start with seed ETF holdings + FMP company screener + Massive active common/ADR universe; then apply AlphaTrend exposure, fundamentals, price, liquidity, and dilution gates.",neutral_until_scored,2026-05-08
T006,"Grid, Utilities & AI Load Growth",Utilities / Power,"AI data-center and electrification demand increase grid load, power-generation demand, and transmission investment requirements.",XLU;VPU;GRID,regulated utilities; power generators; grid operators; transmission utilities,unregulated small renewable developers without cash-flow support,11,https://financialmodelingprep.com/stable/etf/holdings?symbol=XLU;https://financialmodelingprep.com/stable/etf/holdings?symbol=VPU;https://financialmodelingprep.com/stable/etf/holdings?symbol=GRID,"Start with seed ETF holdings + FMP company screener + Massive active common/ADR universe; then apply AlphaTrend exposure, fundamentals, price, liquidity, and dilution gates.",neutral_until_scored,2026-05-08
T007,Uranium & Nuclear Power,Energy / Nuclear,"Nuclear power demand, reactor life extensions, SMR development, and uranium contracting cycles increase demand for uranium mining, enrichment, fuel services, and nuclear infrastructure.",URA;URNM;NLR,uranium miners; enrichment; nuclear fuel; nuclear services; SMR developers,generic utilities with minimal nuclear leverage; speculative claims without nuclear assets,10,https://financialmodelingprep.com/stable/etf/holdings?symbol=URA;https://financialmodelingprep.com/stable/etf/holdings?symbol=URNM;https://financialmodelingprep.com/stable/etf/holdings?symbol=NLR,"Start with seed ETF holdings + FMP company screener + Massive active common/ADR universe; then apply AlphaTrend exposure, fundamentals, price, liquidity, and dilution gates.",neutral_until_scored,2026-05-08
T008,Renewable Energy & Solar Supply Chain,Energy / Renewables,"Power demand, decarbonization policies, and grid investment create demand for solar modules, inverters, trackers, installers, and renewable-energy operators.",TAN;ICLN;FAN,solar modules; solar inverters; trackers; renewable operators; wind/clean-energy equipment,utilities without renewable exposure; speculative press-release renewables,10,https://financialmodelingprep.com/stable/etf/holdings?symbol=TAN;https://financialmodelingprep.com/stable/etf/holdings?symbol=ICLN;https://financialmodelingprep.com/stable/etf/holdings?symbol=FAN,"Start with seed ETF holdings + FMP company screener + Massive active common/ADR universe; then apply AlphaTrend exposure, fundamentals, price, liquidity, and dilution gates.",neutral_until_scored,2026-05-08
T009,Battery Materials & EV Supply Chain,Transportation / Electrification,"EV adoption and stationary storage drive demand for battery materials, charging infrastructure, power semiconductors, automakers, and battery technologies.",LIT;BATT;DRIV,EV manufacturers; lithium producers; battery technology; battery materials; power semiconductors,generic automakers without EV strategy; unproven low-float battery claims,10,https://financialmodelingprep.com/stable/etf/holdings?symbol=LIT;https://financialmodelingprep.com/stable/etf/holdings?symbol=BATT;https://financialmodelingprep.com/stable/etf/holdings?symbol=DRIV,"Start with seed ETF holdings + FMP company screener + Massive active common/ADR universe; then apply AlphaTrend exposure, fundamentals, price, liquidity, and dilution gates.",neutral_until_scored,2026-05-08
T010,Robotics & Automation,Technology / Industrial Automation,"Labor shortages, reshoring, warehouse automation, medical robotics, and factory automation increase demand for robotics hardware, automation software, sensors, and industrial controls.",BOTZ;ROBO;IRBO,robotics; industrial automation; surgical robots; machine vision; warehouse automation,generic software without automation revenue,10,https://financialmodelingprep.com/stable/etf/holdings?symbol=BOTZ;https://financialmodelingprep.com/stable/etf/holdings?symbol=ROBO;https://financialmodelingprep.com/stable/etf/holdings?symbol=IRBO,"Start with seed ETF holdings + FMP company screener + Massive active common/ADR universe; then apply AlphaTrend exposure, fundamentals, price, liquidity, and dilution gates.",neutral_until_scored,2026-05-08
